movie_id,movie_name,budget,genres,original_language,original_title,release_date,release_year,revenue,runtime,status,adult,vote_average,vote_count,lead_actor,keyword_count,user_avg_rating,user_rating_count,log_budget,log_revenue,log_vote_count,log_user_rating_count,log_keyword_count
862,Toy Story,30000000,Animation|Comedy|Family,en,Toy Story,1995-10-30,1995.0,373554033.0,81.0,Released,False,7.7,5415.0,Tom Hanks,9.0,3.8881574960610834,66008.0,17.216707972959764,19.73857322141759,8.59711281459211,11.097546375348252,2.302585092994046
8844,Jumanji,65000000,Adventure|Fantasy|Family,en,Jumanji,1995-12-15,1995.0,262797249.0,104.0,Released,False,6.9,2413.0,Robin Williams,6.0,3.2369531849577897,26060.0,17.989897843244528,19.386893380288626,7.789040401657477,10.16819522292803,1.9459101490553132
31357,Waiting to Exhale,16000000,Comedy|Drama|Romance,en,Waiting to Exhale,1995-12-22,1995.0,81452156.0,127.0,Released,False,6.1,34.0,Whitney Houston,5.0,2.8757128480375718,2981.0,16.588099342704055,18.215526375166277,3.5553480614894135,8.000349495324684,1.791759469228055
949,Heat,60000000,Action|Crime|Drama|Thriller,en,Heat,1995-12-15,1995.0,187436818.0,170.0,Released,False,7.7,1886.0,Al Pacino,25.0,3.841763756945689,27895.0,17.909855136853043,19.04895238125583,7.54274354536855,10.236238588355487,3.258096538021482
11860,Sabrina,58000000,Comedy|Romance,en,Sabrina,1995-12-15,1995.0,0.0,127.0,Released,False,6.2,141.0,Harrison Ford,6.0,3.372105297882167,15157.0,17.87595358575207,0.0,4.955827057601261,9.626283724371975,1.9459101490553132
9091,Sudden Death,35000000,Action|Adventure|Thriller,en,Sudden Death,1995-12-22,1995.0,64350171.0,106.0,Released,False,5.5,174.0,Jean-Claude Van Damme,4.0,3.008365362875876,4423.0,17.370858648025116,17.979850164885512,5.1647859739235145,8.39479954320217,1.6094379124341003
710,GoldenEye,58000000,Adventure|Action|Thriller,en,GoldenEye,1995-11-16,1995.0,352194034.0,130.0,Released,False,6.6,1194.0,Pierce Brosnan,15.0,3.431840536054589,32534.0,17.87595358575207,19.679692817483186,7.085901464365611,10.390071711929085,2.772588722239781
9087,The American President,62000000,Comedy|Drama|Romance,en,The American President,1995-11-17,1995.0,107879496.0,106.0,Released,False,6.5,199.0,Michael Douglas,5.0,3.660590500641848,19475.0,17.9426449591384,18.496525393636873,5.298317366548036,9.876938217302591,1.791759469228055
10858,Nixon,44000000,History|Drama,en,Nixon,1995-12-22,1995.0,13681765.0,192.0,Released,False,7.1,72.0,Anthony Hopkins,6.0,3.4308065226972237,6807.0,17.599700214609808,16.43157455539407,4.290459441148391,8.82585367025321,1.9459101490553132
1408,Cutthroat Island,98000000,Action|Adventure,en,Cutthroat Island,1995-12-22,1995.0,10017322.0,119.0,Released,False,5.7,137.0,Geena Davis,6.0,2.72704,3125.0,18.400478046838927,16.119826452257225,4.927253685157205,8.047509510981422,1.9459101490553132
524,Casino,52000000,Drama|Crime,en,Casino,1995-11-22,1995.0,116112375.0,178.0,Released,False,7.8,1343.0,Robert De Niro,5.0,3.795511039625677,20517.0,17.76675429577647,18.570069038747533,7.203405521083095,9.929057828647657,1.791759469228055
4584,Sense and Sensibility,16500000,Drama|Romance,en,Sense and Sensibility,1995-12-13,1995.0,135000000.0,136.0,Released,False,7.2,364.0,Kate Winslet,11.0,3.95222707064054,24292.0,16.61887099947687,18.72078534381011,5.8998973535824915,10.097943521986084,2.4849066497880004
5,Four Rooms,4000000,Crime|Comedy,en,Four Rooms,1995-12-09,1995.0,4300000.0,98.0,Released,False,6.5,539.0,Tim Roth,10.0,3.409031198686371,6090.0,15.201805169084134,15.274125813221904,6.29156913955832,8.714567550836485,2.3978952727983707
9273,Ace Ventura: When Nature Calls,30000000,Crime|Comedy|Adventure,en,Ace Ventura: When Nature Calls,1995-11-10,1995.0,212385533.0,90.0,Released,False,6.1,1128.0,Jim Carrey,4.0,2.633983148851809,24212.0,17.216707972959764,19.173913737668016,7.029087564149662,10.094644957992482,1.6094379124341003
11517,Money Train,60000000,Action|Comedy|Crime,en,Money Train,1995-11-21,1995.0,35431113.0,103.0,Released,False,5.4,224.0,Wesley Snipes,5.0,2.894070547500541,4621.0,17.909855136853043,17.38310091862791,5.41610040220442,8.438582790834326,1.791759469228055
8012,Get Shorty,30250000,Comedy|Thriller|Crime,en,Get Shorty,1995-10-20,1995.0,115101622.0,105.0,Released,False,6.4,305.0,John Travolta,18.0,3.572137060414788,25507.0,17.225006775498976,18.561325974374626,5.723585101952381,10.146747407435162,2.9444389791664403
9691,Assassins,50000000,Action|Adventure|Crime|Thriller,en,Assassins,1995-10-06,1995.0,30303072.0,132.0,Released,False,6.0,394.0,Sylvester Stallone,19.0,3.157631359466222,4796.0,17.72753358339242,17.22675968447894,5.978885764901122,8.475746001502063,2.995732273553991
451,Leaving Las Vegas,3600000,Drama|Romance,en,Leaving Las Vegas,1995-10-27,1995.0,49800000.0,112.0,Released,False,7.1,365.0,Nicolas Cage,16.0,3.66751289654332,24619.0,15.096444681204078,17.723525562075203,5.902633333401366,10.111314399738445,2.833213344056216
9263,Now and Then,12000000,Comedy|Drama|Family,en,Now and Then,1995-10-20,1995.0,27400000.0,100.0,Released,False,6.6,91.0,Christina Ricci,7.0,3.424864864864865,1850.0,16.300417291085605,17.126053607854647,4.5217885770490405,7.523481312573497,2.0794415416798357
902,The City of Lost Children,18000000,Fantasy|Science Fiction|Adventure,fr,La Cité des Enfants Perdus,1995-05-16,1995.0,1738611.0,108.0,Released,False,7.6,308.0,Ron Perlman,11.0,3.920885116702031,9897.0,16.705882371415992,14.368597651708424,5.733341276897746,9.200087995511831,2.4849066497880004
63,Twelve Monkeys,29500000,Science Fiction|Thriller|Mystery,en,Twelve Monkeys,1995-12-29,1995.0,168840000.0,129.0,Released,False,7.4,2470.0,Bruce Willis,10.0,3.888769242293719,53398.0,17.19990085520835,18.94446208480134,7.81237820598861,10.885547298181182,2.3978952727983707
9598,Babe,30000000,Fantasy|Drama|Comedy|Family,en,Babe,1995-07-18,1995.0,254134910.0,89.0,Released,False,6.0,756.0,Christine Cavanaugh,10.0,3.6205942448493103,35238.0,17.216707972959764,19.35337582964417,6.6293632534374485,10.469908702802991,2.3978952727983707
